genome_id,kingdom,specie,protein,mono_score,dimer_score,class,genome_predominant_architecture_type
GCA_000692335.1,Pseudomonadati,Enterobacter roggenkampii,KK736263.1_356366_357457,,236.0,dimeric,predominantly_dimeric
GCA_000695095.2,Pseudomonadati,Gemmatimonas phototrophica,CP011454.1_2780329_2781546,,432.4,dimeric,predominantly_dimeric
GCA_000695095.2,Pseudomonadati,Gemmatimonas phototrophica,CP011454.1_2982350_2983363,,400.9,dimeric,predominantly_dimeric
GCA_000695585.1,Pseudomonadati,Gilliamella apicola,JFZX01000030.1_21426_22505,,235.1,dimeric,predominantly_dimeric
GCA_000695625.1,Bacillati,Amycolatopsis rifamycinica,JMQI01000011.1_249260_250318,,234.5,dimeric,predominantly_dimeric
GCA_000695625.1,Bacillati,Amycolatopsis rifamycinica,JMQI01000024.1_139459_140553,,214.1,dimeric,predominantly_dimeric
GCA_000695625.1,Bacillati,Amycolatopsis rifamycinica,JMQI01000028.1_284013_285050,,221.5,dimeric,predominantly_dimeric
GCA_000695625.1,Bacillati,Amycolatopsis rifamycinica,JMQI01000064.1_60903_62126,,421.5,dimeric,predominantly_dimeric
GCA_000695795.1,Pseudomonadati,Flavobacterium seoulense,JNCA01000006.1_92359_94590,1306.0,,monomeric,ambiguous
GCA_000695795.1,Pseudomonadati,Flavobacterium seoulense,JNCA01000032.1_66281_67399,,201.5,dimeric,ambiguous
GCA_000695795.1,Pseudomonadati,Flavobacterium seoulense,JNCA01000006.1_87520_89901,361.5,,monomeric,ambiguous
GCA_000695795.1,Pseudomonadati,Flavobacterium seoulense,JNCA01000026.1_8898_9953,,225.9,dimeric,ambiguous
GCA_000696055.1,Bacillati,Exiguobacterium sp. AB2,JNAA01000108.1_102656_103927,,602.8,dimeric,predominantly_dimeric
GCA_000696185.1,Bacillati,Kitasatospora cheerisanensis,KK853997.1_6365453_6366580,,118.4,dimeric,predominantly_dimeric
GCA_000696185.1,Bacillati,Kitasatospora cheerisanensis,KK853997.1_1072480_1074699,1294.2,,monomeric,predominantly_dimeric
GCA_000696185.1,Bacillati,Kitasatospora cheerisanensis,KK853997.1_5333365_5334402,,230.0,dimeric,predominantly_dimeric
GCA_000696225.1,Pseudomonadati,Serpentinimonas barnesii,BAWN01000006.1_151064_152149,,210.9,dimeric,predominantly_dimeric
GCA_000696225.1,Pseudomonadati,Serpentinimonas barnesii,BAWN01000015.1_175285_176367,,257.3,dimeric,predominantly_dimeric
GCA_000696225.1,Pseudomonadati,Serpentinimonas barnesii,BAWN01000020.1_88734_89987,,578.0,dimeric,predominantly_dimeric
GCA_000696225.1,Pseudomonadati,Serpentinimonas barnesii,BAWN01000021.1_30961_32433,,487.6,dimeric,predominantly_dimeric
GCA_000696305.2,Pseudomonadati,Moraxella bovoculi,AOMT01000022.1_20025_22247,1278.7,,monomeric,ambiguous
GCA_000696305.2,Pseudomonadati,Moraxella bovoculi,AOMT01000005.1_266454_267524,,249.8,dimeric,ambiguous
GCA_000696365.2,Pseudomonadati,Rickettsia tamurae,JFKF01000034.1_1227_2678,,451.2,dimeric,predominantly_dimeric
GCA_000696815.1,Bacillati,Staphylococcus chromogenes,JMJF01000003.1_126421_127683,,592.6,dimeric,predominantly_dimeric
GCA_000696815.1,Bacillati,Staphylococcus chromogenes,JMJF01000006.1_3782_4831,,209.2,dimeric,predominantly_dimeric
GCA_000698145.1,Bacillati,Geomicrobium sp. JCM 19039,BAXB01000012.1_4747_5664,,350.5,dimeric,predominantly_dimeric
GCA_000698145.1,Bacillati,Geomicrobium sp. JCM 19039,BAXB01000012.1_4397_4750,,193.5,dimeric,predominantly_dimeric
GCA_000698145.1,Bacillati,Geomicrobium sp. JCM 19039,BAXB01000009.1_86763_86930,,31.8,dimeric,predominantly_dimeric
GCA_000698145.1,Bacillati,Geomicrobium sp. JCM 19039,BAXB01000015.1_9239_10294,,217.6,dimeric,predominantly_dimeric
GCA_000698145.1,Bacillati,Geomicrobium sp. JCM 19039,BAXB01000008.1_54118_54606,,149.9,dimeric,predominantly_dimeric
GCA_000698145.1,Bacillati,Geomicrobium sp. JCM 19039,BAXB01000008.1_53526_54155,,114.6,dimeric,predominantly_dimeric
GCA_000698145.1,Bacillati,Geomicrobium sp. JCM 19039,BAXB01000009.1_85858_86724,,152.0,dimeric,predominantly_dimeric
GCA_000698785.1,Thermoproteati,Nitrososphaera viennensis,CP007536.1_2385620_2386648,,301.8,dimeric,predominantly_dimeric
GCA_000698785.1,Thermoproteati,Nitrososphaera viennensis,CP007536.1_708539_709564,,309.2,dimeric,predominantly_dimeric
GCA_000698845.1,Pseudomonadati,Rhizobium etli,CP006986.1_2422909_2424120,,430.2,dimeric,predominantly_dimeric
GCA_000698845.1,Pseudomonadati,Rhizobium etli,CP006986.1_988855_989949,,254.0,dimeric,predominantly_dimeric
GCA_000698845.1,Pseudomonadati,Rhizobium etli,CP006987.1_87573_88688,,248.5,dimeric,predominantly_dimeric
GCA_000698845.1,Pseudomonadati,Rhizobium etli,CP006990.1_364374_365417,,225.7,dimeric,predominantly_dimeric
GCA_000698845.1,Pseudomonadati,Rhizobium etli,CP006990.1_614499_615572,,227.1,dimeric,predominantly_dimeric
GCA_000698845.1,Pseudomonadati,Rhizobium etli,CP006986.1_4432532_4433644,,215.6,dimeric,predominantly_dimeric
GCA_000699165.1,Pseudomonadati,Serratia liquefaciens,DF820427.1_1285538_1286791,,600.5,dimeric,predominantly_dimeric
GCA_000699165.1,Pseudomonadati,Serratia liquefaciens,DF820427.1_1333551_1333766,,63.2,dimeric,predominantly_dimeric
GCA_000699165.1,Pseudomonadati,Serratia liquefaciens,DF820428.1_222159_223238,,235.2,dimeric,predominantly_dimeric
GCA_000699165.1,Pseudomonadati,Serratia liquefaciens,DF820429.1_392876_393967,,239.7,dimeric,predominantly_dimeric
GCA_000700985.1,Pseudomonadati,Komagataeibacter rhaeticus,KL363099.1_12965_14185,,423.7,dimeric,predominantly_dimeric
GCA_000700985.1,Pseudomonadati,Komagataeibacter rhaeticus,KL363168.1_86329_87507,,228.6,dimeric,predominantly_dimeric
GCA_000700985.1,Pseudomonadati,Komagataeibacter rhaeticus,KL363098.1_98152_99180,,377.1,dimeric,predominantly_dimeric
GCA_000701165.2,Pseudomonadati,Burkholderia cepacia,CP013730.1_1173871_1175127,,590.5,dimeric,predominantly_dimeric
GCA_000701165.2,Pseudomonadati,Burkholderia cepacia,CP013730.1_1175408_1177636,1307.9,,monomeric,predominantly_dimeric
GCA_000701165.2,Pseudomonadati,Burkholderia cepacia,CP013731.1_1519761_1520846,,240.4,dimeric,predominantly_dimeric
GCA_000701165.2,Pseudomonadati,Burkholderia cepacia,CP013731.1_384637_385704,,245.8,dimeric,predominantly_dimeric
GCA_000701165.2,Pseudomonadati,Burkholderia cepacia,CP013731.1_685694_686776,,231.8,dimeric,predominantly_dimeric
GCA_000701265.1,Pseudomonadati,Legionella wadsworthii,KL370759.1_413469_414725,,590.7,dimeric,predominantly_dimeric
GCA_000701345.1,Pseudomonadati,Bradyrhizobium sp. URHD0069,KL370775.1_313247_314383,,225.5,dimeric,predominantly_dimeric
GCA_000701345.1,Pseudomonadati,Bradyrhizobium sp. URHD0069,JNIJ01000038.1_413_1525,,223.6,dimeric,predominantly_dimeric
GCA_000701345.1,Pseudomonadati,Bradyrhizobium sp. URHD0069,JNIJ01000018.1_78439_79650,,420.8,dimeric,predominantly_dimeric
GCA_000701345.1,Pseudomonadati,Bradyrhizobium sp. URHD0069,KL370775.1_227993_229072,,237.7,dimeric,predominantly_dimeric
GCA_000701365.1,Bacillati,Blastococcus sp. URHD0036,JNIK01000007.1_37777_38835,,243.5,dimeric,predominantly_dimeric
GCA_000701365.1,Bacillati,Blastococcus sp. URHD0036,JNIK01000016.1_312491_313513,,224.4,dimeric,predominantly_dimeric
GCA_000701365.1,Bacillati,Blastococcus sp. URHD0036,JNIK01000018.1_49345_50559,,432.8,dimeric,predominantly_dimeric
GCA_000701405.1,Thermotogati,Deinococcus marmoris,JNIV01000015.1_9863_10915,,227.1,dimeric,predominantly_dimeric
GCA_000701405.1,Thermotogati,Deinococcus marmoris,JNIV01000026.1_19060_20058,,279.9,dimeric,predominantly_dimeric
GCA_000701405.1,Thermotogati,Deinococcus marmoris,JNIV01000037.1_3777_5261,,465.9,dimeric,predominantly_dimeric
GCA_000701405.1,Thermotogati,Deinococcus marmoris,JNIV01000081.1_17305_18549,,587.5,dimeric,predominantly_dimeric
GCA_000701425.1,Thermotogati,Deinococcus frigens,JNIW01000001.1_126609_128108,,464.2,dimeric,predominantly_dimeric
GCA_000701425.1,Thermotogati,Deinococcus frigens,JNIW01000035.1_24829_25881,,214.4,dimeric,predominantly_dimeric
GCA_000701425.1,Thermotogati,Deinococcus frigens,JNIW01000035.1_28826_29824,,276.5,dimeric,predominantly_dimeric
GCA_000701425.1,Thermotogati,Deinococcus frigens,JNIW01000082.1_5501_6745,,590.7,dimeric,predominantly_dimeric
GCA_000701445.1,Pseudomonadati,Brevundimonas bacteroides,JNIX01000010.1_296457_297677,,430.6,dimeric,predominantly_dimeric
GCA_000701445.1,Pseudomonadati,Brevundimonas bacteroides,JNIX01000001.1_62923_64023,,231.9,dimeric,predominantly_dimeric
GCA_000701465.1,Bacillati,Paraoerskovia marina,JNIY01000003.1_428262_430493,1275.6,,monomeric,ambiguous
GCA_000701465.1,Bacillati,Paraoerskovia marina,JNIY01000009.1_20975_22018,,225.1,dimeric,ambiguous
GCA_000701505.1,Pseudomonadati,Dyadobacter crusticola,JNJB01000008.1_343873_344943,,227.5,dimeric,predominantly_dimeric
GCA_000701505.1,Pseudomonadati,Dyadobacter crusticola,KL370786.1_526503_528911,285.9,,monomeric,predominantly_dimeric
GCA_000701505.1,Pseudomonadati,Dyadobacter crusticola,JNJB01000020.1_40173_41384,,423.4,dimeric,predominantly_dimeric
GCA_000701585.1,Pseudomonadati,Acidiphilium angustum,JNJH01000001.1_37880_38992,,222.9,dimeric,predominantly_dimeric
GCA_000701585.1,Pseudomonadati,Acidiphilium angustum,JNJH01000035.1_22924_23997,,234.1,dimeric,predominantly_dimeric
GCA_000701585.1,Pseudomonadati,Acidiphilium angustum,JNJH01000062.1_13587_15050,,426.7,dimeric,predominantly_dimeric
GCA_000701585.1,Pseudomonadati,Acidiphilium angustum,JNJH01000021.1_66640_67716,,225.5,dimeric,predominantly_dimeric
GCA_000701585.1,Pseudomonadati,Acidiphilium angustum,JNJH01000011.1_38076_39305,,429.5,dimeric,predominantly_dimeric
GCA_000701645.1,Bacillati,Oribacterium sp. FC2011,JNJM01000005.1_104598_105692,,238.3,dimeric,predominantly_dimeric
GCA_000701645.1,Bacillati,Oribacterium sp. FC2011,JNJM01000005.1_210101_211144,,392.6,dimeric,predominantly_dimeric
GCA_000701645.1,Bacillati,Oribacterium sp. FC2011,JNJM01000004.1_223762_224937,,286.5,dimeric,predominantly_dimeric
GCA_000701665.1,Bacillati,Agathobaculum desmolans,JNJN01000007.1_43960_45036,,249.1,dimeric,predominantly_dimeric
GCA_000701665.1,Bacillati,Agathobaculum desmolans,JNJN01000015.1_17519_18676,,314.7,dimeric,predominantly_dimeric
GCA_000701725.1,Bacillati,Erysipelotrichaceae bacterium NK3D112,JNJQ01000001.1_69215_70435,,369.2,dimeric,predominantly_dimeric
GCA_000701885.1,Bacillati,Selenomonas bovis,JNKB01000010.1_51235_52302,,254.1,dimeric,predominantly_dimeric
GCA_000701905.1,Bacillati,Proteiniclasticum ruminis,JNKC01000012.1_48355_49536,,265.8,dimeric,predominantly_dimeric
GCA_000701905.1,Bacillati,Proteiniclasticum ruminis,KL370834.1_15986_17059,,272.8,dimeric,predominantly_dimeric
GCA_000701945.1,Bacillati,Anaerotruncus sp. MC2020,KL370840.1_936601_937812,,399.2,dimeric,predominantly_dimeric
GCA_000701945.1,Bacillati,Anaerotruncus sp. MC2020,JNKE01000022.1_75697_76770,,230.7,dimeric,predominantly_dimeric
GCA_000701985.1,Bacillati,Butyrivibrio sp. WCE2006,JNKH01000001.1_240780_241886,,240.8,dimeric,predominantly_dimeric
GCA_000701985.1,Bacillati,Butyrivibrio sp. WCE2006,JNKH01000012.1_48728_49936,,392.2,dimeric,predominantly_dimeric
GCA_000702025.1,Bacillati,Blautia schinkii,KL370850.1_34095_35177,,246.0,dimeric,predominantly_dimeric
GCA_000702025.1,Bacillati,Blautia schinkii,KL370851.1_194101_195312,,397.8,dimeric,predominantly_dimeric
GCA_000702065.1,Bacillati,Kandleria vitulina,JNKN01000021.1_16631_17713,,248.8,dimeric,predominantly_dimeric
GCA_000702065.1,Bacillati,Kandleria vitulina,JNKN01000007.1_66733_67950,,395.2,dimeric,predominantly_dimeric
GCA_000702085.1,Bacillati,Lachnospiraceae bacterium P6A3,KL370861.1_718735_719820,,237.7,dimeric,predominantly_dimeric
GCA_000702085.1,Bacillati,Lachnospiraceae bacterium P6A3,KL370861.1_645001_646209,,394.2,dimeric,predominantly_dimeric
GCA_000702125.1,Bacillati,Lachnospiraceae bacterium ND2006,JNKS01000022.1_10009_11100,,253.2,dimeric,predominantly_dimeric
GCA_000702125.1,Bacillati,Lachnospiraceae bacterium ND2006,JNKS01000021.1_8041_9240,,398.8,dimeric,predominantly_dimeric
GCA_000702165.1,Bacillati,Sharpea azabuensis,JNKU01000012.1_3745_4827,,239.0,dimeric,predominantly_dimeric
GCA_000702165.1,Bacillati,Sharpea azabuensis,JNKU01000026.1_5899_7107,,392.8,dimeric,predominantly_dimeric
GCA_000702245.1,Bacillati,Lachnospiraceae bacterium C6A11,JNKY01000003.1_28016_29098,,240.5,dimeric,predominantly_dimeric
GCA_000702245.1,Bacillati,Lachnospiraceae bacterium C6A11,JNKY01000016.1_204946_206151,,412.0,dimeric,predominantly_dimeric
GCA_000702265.1,Bacillati,Butyrivibrio sp. NC2002,JNKZ01000011.1_136131_137336,,388.9,dimeric,predominantly_dimeric
GCA_000702265.1,Bacillati,Butyrivibrio sp. NC2002,JNKZ01000007.1_307793_308890,,236.1,dimeric,predominantly_dimeric
GCA_000702285.1,Pseudomonadati,Bacteroides sp. Ga6A1,JNLA01000036.1_8587_9666,,195.1,dimeric,predominantly_dimeric
GCA_000702305.1,Pseudomonadati,Allobosea sp. 117,JNLC01000010.1_801178_802254,,234.7,dimeric,predominantly_dimeric
GCA_000702305.1,Pseudomonadati,Allobosea sp. 117,JNLC01000010.1_317943_319046,,272.0,dimeric,predominantly_dimeric
GCA_000702305.1,Pseudomonadati,Allobosea sp. 117,KL370890.1_47021_48094,,229.2,dimeric,predominantly_dimeric
GCA_000702305.1,Pseudomonadati,Allobosea sp. 117,JNLC01000018.1_150225_151436,,431.1,dimeric,predominantly_dimeric
GCA_000702305.1,Pseudomonadati,Allobosea sp. 117,JNLC01000013.1_345453_346562,,217.7,dimeric,predominantly_dimeric
GCA_000702305.1,Pseudomonadati,Allobosea sp. 117,JNLC01000011.1_489691_490788,,257.1,dimeric,predominantly_dimeric
GCA_000702305.1,Pseudomonadati,Allobosea sp. 117,JNLC01000011.1_485536_486624,,236.5,dimeric,predominantly_dimeric
GCA_000702325.1,Pseudomonadati,Thiomicrorhabdus sp. Milos-T2,KL370891.1_1620497_1621570,,245.0,dimeric,ambiguous
GCA_000702325.1,Pseudomonadati,Thiomicrorhabdus sp. Milos-T2,KL370891.1_1103490_1105709,1315.3,,monomeric,ambiguous
GCA_000702425.1,Pseudomonadati,Thermocrinis jamiesonii,JNIE01000007.1_19411_20667,,430.3,dimeric,predominantly_dimeric
GCA_000702425.1,Pseudomonadati,Thermocrinis jamiesonii,JNIE01000003.1_219569_220663,,271.2,dimeric,predominantly_dimeric
GCA_000702445.1,Pseudomonadati,Bryobacter aggregatus,JNIF01000003.1_3006535_3007968,,464.8,dimeric,predominantly_dimeric
GCA_000702445.1,Pseudomonadati,Bryobacter aggregatus,JNIF01000003.1_3014874_3015938,,260.5,dimeric,predominantly_dimeric
GCA_000702445.1,Pseudomonadati,Bryobacter aggregatus,JNIF01000003.1_3911681_3912757,,204.6,dimeric,predominantly_dimeric
GCA_000702445.1,Pseudomonadati,Bryobacter aggregatus,JNIF01000003.1_2006545_2007555,,405.5,dimeric,predominantly_dimeric
GCA_000702485.1,Bacillati,Paenalicyclobacillus macrosporangiidus,JNIL01000001.1_1186261_1187328,,236.7,dimeric,predominantly_dimeric
GCA_000702485.1,Bacillati,Paenalicyclobacillus macrosporangiidus,JNIL01000001.1_1745474_1746769,,613.9,dimeric,predominantly_dimeric
GCA_000702485.1,Bacillati,Paenalicyclobacillus macrosporangiidus,JNIL01000001.1_3057129_3058220,,266.2,dimeric,predominantly_dimeric
GCA_000702485.1,Bacillati,Paenalicyclobacillus macrosporangiidus,JNIL01000001.1_1290018_1291166,,242.7,dimeric,predominantly_dimeric
GCA_000702525.1,Bacillati,Lachnospiraceae bacterium AC2012,JNIN01000001.1_590259_591467,,401.5,dimeric,predominantly_dimeric
GCA_000702525.1,Bacillati,Lachnospiraceae bacterium AC2012,JNIN01000001.1_936911_938011,,237.5,dimeric,predominantly_dimeric
GCA_000702545.1,Bacillati,Selenomonas sp. AB3002,JNIO01000007.1_341121_342188,,216.5,dimeric,predominantly_dimeric
GCA_000702545.1,Bacillati,Selenomonas sp. AB3002,JNIO01000008.1_1479261_1480325,,258.5,dimeric,predominantly_dimeric
GCA_000702585.1,Bacillati,Exiguobacterium aurantiacum,JNIQ01000001.1_1518979_1520250,,599.2,dimeric,predominantly_dimeric
GCA_000702605.1,Bacillati,Exiguobacterium acetylicum,JNIR01000001.1_1866036_1867310,,597.9,dimeric,predominantly_dimeric
GCA_000702625.1,Bacillati,Exiguobacterium oxidotolerans,JNIS01000001.1_732093_733367,,596.4,dimeric,predominantly_dimeric
GCA_000702685.1,Bacillati,Lachnospiraceae bacterium AC2028,JNJD01000006.1_250694_251902,,400.1,dimeric,predominantly_dimeric
GCA_000702685.1,Bacillati,Lachnospiraceae bacterium AC2028,JNJD01000006.1_195740_196825,,239.5,dimeric,predominantly_dimeric
GCA_000702825.1,Pseudomonadati,Prevotella sp. P6B1,JNKF01000014.1_185501_186562,,199.7,dimeric,ambiguous
GCA_000702825.1,Pseudomonadati,Prevotella sp. P6B1,JNKF01000016.1_101380_103437,37.4,,monomeric,ambiguous
GCA_000702845.1,Bacillati,Lachnospiraceae bacterium FE2018,JNKK01000010.1_66209_67420,,396.4,dimeric,predominantly_dimeric
GCA_000702885.1,Bacillati,Oribacterium sp. P6A1,JNKO01000001.1_192764_193858,,240.5,dimeric,predominantly_dimeric
GCA_000702885.1,Bacillati,Oribacterium sp. P6A1,JNKO01000001.1_302271_303314,,405.3,dimeric,predominantly_dimeric
GCA_000702885.1,Bacillati,Oribacterium sp. P6A1,JNKO01000033.1_16538_17710,,286.9,dimeric,predominantly_dimeric
GCA_000702905.1,Bacillati,Mitsuokella jalaludinii,JNKR01000003.1_103382_104446,,224.4,dimeric,predominantly_dimeric
GCA_000702905.1,Bacillati,Mitsuokella jalaludinii,JNKR01000011.1_64331_65398,,257.7,dimeric,predominantly_dimeric
GCA_000702985.1,Bacillati,Lachnoclostridium phytofermentans,JNLG01000001.1_2096934_2098016,,248.7,dimeric,predominantly_dimeric
GCA_000702985.1,Bacillati,Lachnoclostridium phytofermentans,JNLG01000001.1_2476506_2477669,,330.4,dimeric,predominantly_dimeric
GCA_000703005.1,Bacillati,Pseudobutyrivibrio ruminis,JNLH01000001.1_1646988_1648079,,230.6,dimeric,predominantly_dimeric
GCA_000703005.1,Bacillati,Pseudobutyrivibrio ruminis,JNLH01000001.1_2183864_2185069,,408.1,dimeric,predominantly_dimeric
GCA_000703045.1,Pseudomonadati,Persephonella sp. IF05-L8,JNLJ01000005.1_373184_375430,1118.8,,monomeric,ambiguous
GCA_000703045.1,Pseudomonadati,Persephonella sp. IF05-L8,JNLJ01000001.1_36583_37656,,271.5,dimeric,ambiguous
GCA_000703065.1,Bacillati,Lachnospiraceae bacterium AC2029,JNLK01000001.1_2502729_2503937,,402.8,dimeric,predominantly_dimeric
GCA_000703065.1,Bacillati,Lachnospiraceae bacterium AC2029,JNLK01000001.1_3070218_3071300,,245.0,dimeric,predominantly_dimeric
GCA_000703165.1,Bacillati,Butyrivibrio sp. AE3004,JNLQ01000002.1_1388184_1389395,,386.6,dimeric,predominantly_dimeric
GCA_000703165.1,Bacillati,Butyrivibrio sp. AE3004,JNLQ01000002.1_1621692_1622798,,239.3,dimeric,predominantly_dimeric
GCA_000705335.1,Pseudomonadati,Mangrovibacter sp. MFB070,JJMI01000019.1_129524_130615,,239.2,dimeric,predominantly_dimeric
GCA_000705335.1,Pseudomonadati,Mangrovibacter sp. MFB070,JJMI01000022.1_385519_386769,,595.9,dimeric,predominantly_dimeric
GCA_000705335.1,Pseudomonadati,Mangrovibacter sp. MFB070,JJMI01000044.1_30846_31910,,238.6,dimeric,predominantly_dimeric
GCA_000705355.1,Pseudomonadati,Pseudorhizobium marinum,JMQK01000023.1_2_640,,246.3,dimeric,predominantly_dimeric
GCA_000705355.1,Pseudomonadati,Pseudorhizobium marinum,JMQK01000024.1_2_334,,93.8,dimeric,predominantly_dimeric
GCA_000705355.1,Pseudomonadati,Pseudorhizobium marinum,JMQK01000026.1_54374_54706,,97.6,dimeric,predominantly_dimeric
GCA_000705355.1,Pseudomonadati,Pseudorhizobium marinum,JMQK01000087.1_1_303,,74.0,dimeric,predominantly_dimeric
GCA_000705355.1,Pseudomonadati,Pseudorhizobium marinum,JMQK01000003.1_280162_281271,,217.3,dimeric,predominantly_dimeric
GCA_000705355.1,Pseudomonadati,Pseudorhizobium marinum,JMQK01000015.1_119404_120048,,243.1,dimeric,predominantly_dimeric
GCA_000705555.1,Pseudomonadati,Marinobacterium lacunae,JMQN01000007.1_68372_70606,1293.1,,monomeric,ambiguous
GCA_000705555.1,Pseudomonadati,Marinobacterium lacunae,JMQN01000028.1_18330_19412,,252.5,dimeric,ambiguous
GCA_000705595.2,Pseudomonadati,Sinorhizobium americanum,CP013051.1_1892459_1893673,,439.0,dimeric,predominantly_dimeric
GCA_000705595.2,Pseudomonadati,Sinorhizobium americanum,CP013054.1_1690732_1691775,,217.9,dimeric,predominantly_dimeric
GCA_000705595.2,Pseudomonadati,Sinorhizobium americanum,CP013051.1_3608242_3609354,,211.8,dimeric,predominantly_dimeric
GCA_000705595.2,Pseudomonadati,Sinorhizobium americanum,CP013054.1_2004711_2005805,,256.8,dimeric,predominantly_dimeric
GCA_000705595.2,Pseudomonadati,Sinorhizobium americanum,CP013054.1_1979711_1980784,,226.2,dimeric,predominantly_dimeric
GCA_000706625.1,Pseudomonadati,Bartonella koehlerae,KL407334.1_1304274_1305488,,434.4,dimeric,predominantly_dimeric
GCA_000706645.1,Pseudomonadati,Bartonella rochalimae,KL407337.1_767325_768539,,431.3,dimeric,predominantly_dimeric
GCA_000706725.1,Bacillati,Shouchella lehensis,CP003923.1_366926_367993,,220.2,dimeric,predominantly_dimeric
GCA_000706725.1,Bacillati,Shouchella lehensis,CP003923.1_2627268_2628533,,593.4,dimeric,predominantly_dimeric
GCA_000706725.1,Bacillati,Shouchella lehensis,CP003923.1_2553657_2554739,,233.4,dimeric,predominantly_dimeric
GCA_000706725.1,Bacillati,Shouchella lehensis,CP003923.1_886973_888010,,243.6,dimeric,predominantly_dimeric
GCA_000706765.1,Bacillati,Bifidobacterium coryneforme,CP006018.1_779907_781133,,405.3,dimeric,predominantly_dimeric
GCA_000706765.1,Bacillati,Bifidobacterium coryneforme,CP006018.1_413891_414934,,238.7,dimeric,predominantly_dimeric
GCA_000707925.2,Bacillati,Streptomyces rimosus,CP045803.1_3093534_3095756,1318.2,,monomeric,predominantly_dimeric
GCA_000707925.2,Bacillati,Streptomyces rimosus,CP045803.1_7568199_7569419,,417.4,dimeric,predominantly_dimeric
GCA_000707925.2,Bacillati,Streptomyces rimosus,CP045803.1_3893652_3894692,,229.2,dimeric,predominantly_dimeric
GCA_000708045.1,Pseudomonadati,Marinobacter nitratireducens,ANIE01000003.1_424479_425552,,243.2,dimeric,predominantly_dimeric
GCA_000708045.1,Pseudomonadati,Marinobacter nitratireducens,ANIE01000009.1_14335_16578,1277.2,,monomeric,predominantly_dimeric
GCA_000708045.1,Pseudomonadati,Marinobacter nitratireducens,ANIE01000006.1_78196_79347,,204.8,dimeric,predominantly_dimeric
GCA_000708125.1,Pseudomonadati,Aeromonas jandaei,JFDL01000018.1_12324_13409,,230.9,dimeric,predominantly_dimeric
GCA_000708125.1,Pseudomonadati,Aeromonas jandaei,JFDL01000003.1_164564_165817,,598.7,dimeric,predominantly_dimeric
GCA_000708125.1,Pseudomonadati,Aeromonas jandaei,JFDL01000002.1_154251_155258,,401.0,dimeric,predominantly_dimeric
GCA_000708265.2,Pseudomonadati,Pedobacter sp. R20-19,JCKI01000003.1_50810_51901,,222.3,dimeric,predominantly_monomeric
GCA_000708265.2,Pseudomonadati,Pedobacter sp. R20-19,JCKI01000006.1_39497_41914,168.9,,monomeric,predominantly_monomeric
GCA_000708265.2,Pseudomonadati,Pedobacter sp. R20-19,JCKI01000002.1_380906_383125,1302.4,,monomeric,predominantly_monomeric
GCA_000708285.2,Pseudomonadati,Pedobacter borealis,JAUG01000049.1_14678_16897,1295.4,,monomeric,predominantly_monomeric
GCA_000708285.2,Pseudomonadati,Pedobacter borealis,JAUG01000034.1_30175_31299,,226.5,dimeric,predominantly_monomeric
GCA_000708285.2,Pseudomonadati,Pedobacter borealis,JAUG01000021.1_27573_30218,99.6,,monomeric,predominantly_monomeric
GCA_000708285.2,Pseudomonadati,Pedobacter borealis,JAUG01000015.1_1175_3499,80.0,,monomeric,predominantly_monomeric
GCA_000708485.1,Pseudomonadati,Bartonella henselae,KL411700.1_74476_75690,,436.9,dimeric,predominantly_dimeric
GCA_000708485.1,Pseudomonadati,Bartonella henselae,KL411700.1_359656_360057,,30.6,dimeric,predominantly_dimeric
GCA_000708595.2,Pseudomonadati,Flavobacterium sp. KJJ,JARP01000001.1_1093805_1094923,,227.8,dimeric,predominantly_dimeric
GCA_000708595.2,Pseudomonadati,Flavobacterium sp. KJJ,JARP01000001.1_163547_165931,365.3,,monomeric,predominantly_dimeric
GCA_000708595.2,Pseudomonadati,Flavobacterium sp. KJJ,JARP01000001.1_166077_168299,1299.4,,monomeric,predominantly_dimeric
GCA_000708595.2,Pseudomonadati,Flavobacterium sp. KJJ,JARP01000002.1_529160_530221,,216.2,dimeric,predominantly_dimeric
GCA_000708595.2,Pseudomonadati,Flavobacterium sp. KJJ,JARP01000001.1_34713_35936,,559.4,dimeric,predominantly_dimeric
GCA_000708615.2,Pseudomonadati,Chryseobacterium hispalense,JARQ01000001.1_163289_165664,279.3,,monomeric,predominantly_monomeric
GCA_000708615.2,Pseudomonadati,Chryseobacterium hispalense,JARQ01000001.1_570591_571712,,234.4,dimeric,predominantly_monomeric
GCA_000708615.2,Pseudomonadati,Chryseobacterium hispalense,JARQ01000002.1_320895_323114,1264.1,,monomeric,predominantly_monomeric
GCA_000708615.2,Pseudomonadati,Chryseobacterium hispalense,JARQ01000002.1_5966_8296,100.0,,monomeric,predominantly_monomeric
GCA_000708615.2,Pseudomonadati,Chryseobacterium hispalense,JARQ01000007.1_135163_136599,,487.9,dimeric,predominantly_monomeric
GCA_000708675.1,Pseudomonadati,Microbulbifer sp. HZ11,JELR01000001.1_40824_41897,,244.8,dimeric,predominantly_dimeric
GCA_000708675.1,Pseudomonadati,Microbulbifer sp. HZ11,JELR01000001.1_616098_617348,,591.9,dimeric,predominantly_dimeric
GCA_000708715.2,Pseudomonadati,Pseudomonas putida,JENB01000021.1_47535_48617,,240.9,dimeric,predominantly_dimeric
